hostname,ip_address,os_platform,device_role,site,version,tunnel_ips
LAB-MGMT-BR01,10.255.0.1,cisco_ios,router,MGMT,15.6(2)T,
HQ-CORE-RT01,10.255.1.11,cisco_ios,core_router,HQ,15.6(2)T,
HQ-CORE-RT02,10.255.1.12,cisco_ios,core_router,HQ,15.6(2)T,
HQ-DIST-GW01,10.255.2.21,cisco_ios,dist_switch,HQ,15.6(2)T,172.16.10.1 172.16.20.1
HQ-DIST-GW02,10.255.2.22,cisco_ios,dist_switch,HQ,15.6(2)T,172.16.30.1 172.16.40.1
BRANCH-A-RTR,10.255.3.101,cisco_ios,router,BRANCH-A,15.6(2)T,172.16.10.2 172.16.20.2
BRANCH-B-RTR,10.255.3.102,cisco_ios,router,BRANCH-B,15.6(2)T,172.16.30.2 172.16.40.2
BRANCH-A-Switch,192.168.99.11,cisco_ios,access_switch,BRANCH-A,15.2(4.0.55)E,
BRANCH-B-Switch,192.168.199.11,cisco_ios,access_switch,BRANCH-B,15.2(4.0.55)E,
